Id,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,CentralAir,Electrical,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageArea,MoSold,YrSold,SalePrice
365,18800,Pave,IR1,Lvl,AllPub,NWAmes,1Fam,2Story,6,5,1976,Gable,PConc,796,GasA,Y,SBrkr,1574,2,1,3,1,TA,6,1,Attchd,566,7,2006,190000
366,10690,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,2Story,5,7,1920,Hip,CBlock,672,GasA,Y,FuseA,1344,1,0,3,1,TA,6,0,Detchd,468,7,2009,147000
367,9500,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1963,Gable,CBlock,1394,GasA,Y,SBrkr,1394,1,1,3,1,TA,6,2,Attchd,514,7,2009,159000
368,9150,Pave,IR1,Lvl,AllPub,NAmes,1Fam,SLvl,6,5,1962,Gable,CBlock,1099,GasA,Y,SBrkr,1431,1,0,3,1,TA,6,1,Basment,296,12,2008,165000
369,7800,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1954,Gable,PConc,1268,GasA,Y,SBrkr,1268,1,0,2,1,TA,7,1,Attchd,244,3,2010,132000
370,9830,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1959,Gable,CBlock,1063,GasA,Y,SBrkr,1287,1,0,3,1,Gd,7,1,Detchd,576,3,2010,162000
371,8121,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,2000,Gable,PConc,953,GasA,Y,SBrkr,1664,2,1,3,1,TA,7,1,Attchd,460,1,2006,172400
372,17120,Pave,Reg,Lvl,AllPub,ClearCr,1Fam,1.5Fin,4,4,1959,Gable,CBlock,0,GasA,Y,SBrkr,1588,2,0,4,1,TA,7,1,Detchd,680,7,2008,134432
373,7175,Pave,Reg,Lvl,AllPub,SawyerW,TwnhsE,1Story,6,5,1984,Gable,CBlock,744,GasA,Y,SBrkr,752,1,0,2,1,TA,4,0,Attchd,264,2,2010,125000
374,10634,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1953,Gable,PConc,608,GasA,Y,SBrkr,1319,1,0,3,1,TA,5,0,Attchd,270,11,2009,123000
375,8200,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,2003,Gable,PConc,847,GasA,Y,SBrkr,1928,2,1,4,1,Gd,8,1,BuiltIn,434,7,2007,219500
376,10020,Pave,IR1,Low,AllPub,Edwards,1Fam,1Story,1,1,1922,Gable,BrkTil,683,GasA,N,FuseA,904,0,1,1,1,Fa,4,0,NA,0,3,2009,61000
377,8846,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,SFoyer,5,5,1996,Gable,PConc,870,GasA,Y,SBrkr,914,1,0,2,1,TA,5,0,Detchd,576,7,2006,148000
378,11143,Pave,IR1,Lvl,AllPub,Somerst,1Fam,2Story,8,5,2004,Gable,PConc,1580,GasA,Y,SBrkr,2466,3,0,4,1,Gd,8,1,Attchd,610,12,2007,340000
379,11394,Pave,Reg,Lvl,AllPub,StoneBr,1Fam,1Story,9,2,2010,Hip,PConc,1856,GasA,Y,SBrkr,1856,1,1,1,1,Ex,8,1,Attchd,834,6,2010,394432
380,8123,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,2000,Gable,PConc,982,GasA,Y,SBrkr,1800,2,1,3,1,TA,7,1,Attchd,463,6,2009,179000
381,5000,Pave,Reg,Lvl,AllPub,SWISU,1Fam,1.5Fin,5,6,1924,Gable,BrkTil,1026,GasA,Y,SBrkr,1691,2,0,3,1,Gd,6,1,Detchd,308,5,2010,127000
382,7200,Pave,Reg,Lvl,AllPub,Somerst,1Fam,1Story,7,5,2006,Gable,PConc,1293,GasA,Y,SBrkr,1301,2,0,2,1,Gd,5,1,Attchd,572,8,2006,187750
383,9245,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,2006,Gable,PConc,939,GasA,Y,SBrkr,1797,2,1,3,1,Gd,8,0,Attchd,639,4,2007,213500
384,9000,Pave,Reg,Lvl,AllPub,SawyerW,1Fam,1.5Unf,6,3,1928,Gable,BrkTil,784,GasA,N,FuseA,784,1,0,2,1,TA,5,0,Detchd,360,10,2009,76000
385,53107,Pave,IR2,Low,AllPub,ClearCr,1Fam,2Story,6,5,1992,Gable,PConc,1580,GasA,Y,SBrkr,1953,2,1,3,1,Gd,9,2,Attchd,501,6,2007,240000
386,3182,Pave,Reg,Lvl,AllPub,Blmngtn,TwnhsE,1Story,8,5,2004,Gable,PConc,1256,GasA,Y,SBrkr,1269,2,0,2,1,Gd,6,1,Attchd,430,4,2010,192000
387,8410,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1.5Fin,5,3,1910,Gambrel,PConc,658,GasA,Y,SBrkr,1184,1,0,5,1,TA,8,0,NA,0,5,2006,81000
388,7200,Pave,Reg,Lvl,AllPub,Edwards,1Fam,SLvl,6,6,1976,Hip,CBlock,1041,GasA,Y,SBrkr,1125,1,0,3,1,TA,6,1,Detchd,352,10,2009,125000
389,9382,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,1Story,7,5,1999,Gable,PConc,1468,GasA,Y,SBrkr,1479,2,0,3,1,Gd,6,0,Attchd,577,7,2008,191000
390,12474,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,2Story,10,5,2007,Gable,PConc,1682,GasA,Y,SBrkr,2332,2,1,3,1,Ex,9,1,BuiltIn,846,8,2008,426000
391,8405,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1.5Fin,5,8,1900,Gable,BrkTil,861,GasA,Y,SBrkr,1367,1,0,4,1,TA,7,0,Detchd,384,4,2008,119000
392,12209,Pave,IR1,Lvl,AllPub,Mitchel,1Fam,2Story,6,5,2001,Gable,PConc,804,GasA,Y,SBrkr,1961,2,1,3,1,Gd,7,1,BuiltIn,560,6,2009,215000
393,8339,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1959,Gable,Slab,0,GasA,Y,SBrkr,882,1,0,3,1,TA,5,0,Attchd,294,7,2007,106500
394,7446,Pave,Reg,Lvl,AllPub,BrkSide,1Fam,1Story,4,5,1941,Gable,CBlock,788,GasA,Y,FuseA,788,1,0,2,1,TA,4,2,NA,0,4,2006,100000
395,10134,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1.5Fin,5,6,1940,Gable,CBlock,735,GasA,Y,FuseA,1034,1,0,2,1,TA,5,0,Detchd,240,7,2007,109000
396,9571,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1Story,5,6,1956,Gable,CBlock,1144,GasA,Y,SBrkr,1144,1,0,3,1,TA,6,0,Attchd,596,6,2010,129000
397,7200,Pave,Reg,Low,AllPub,CollgCr,1Fam,1Story,5,5,1972,Hip,CBlock,894,GasA,Y,SBrkr,894,1,0,2,1,TA,6,0,Detchd,600,9,2009,123000
398,7590,Pave,Reg,Lvl,AllPub,NAmes,1Fam,2Story,5,5,1962,Gable,CBlock,864,GasA,Y,SBrkr,1812,2,0,4,1,TA,8,1,Attchd,264,7,2007,169500
399,8967,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,1Story,5,2,1920,Gable,BrkTil,961,GasA,Y,Mix,1077,1,0,2,1,TA,6,0,Detchd,338,11,2007,67000
400,8125,Pave,Reg,Lvl,AllPub,Somerst,1Fam,2Story,7,5,2006,Gable,PConc,1092,GasA,Y,SBrkr,1550,2,0,2,1,Gd,7,0,Attchd,438,10,2009,241000
401,14963,Pave,IR2,Lvl,AllPub,Veenker,TwnhsE,1Story,8,5,1996,Gable,PConc,1260,GasA,Y,SBrkr,1288,1,1,1,1,Ex,4,2,Attchd,500,12,2008,245500
402,8767,Pave,IR1,Lvl,AllPub,CollgCr,1Fam,1Story,7,5,2005,Gable,PConc,1310,GasA,Y,SBrkr,1310,2,0,3,1,Gd,6,1,Attchd,400,7,2006,164990
403,10200,Pave,Reg,Lvl,AllPub,Sawyer,1Fam,1Story,5,8,1940,Gable,PConc,672,GasA,Y,SBrkr,672,1,0,2,1,TA,4,0,Detchd,240,8,2008,108000
404,12090,Pave,Reg,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,1998,Hip,PConc,1141,GasA,Y,SBrkr,2263,2,1,4,1,Gd,10,1,BuiltIn,420,7,2006,258000
405,10364,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,1995,Gable,PConc,806,GasA,Y,SBrkr,1572,2,1,3,1,TA,7,1,BuiltIn,373,5,2007,168000
406,9991,Pave,IR1,Lvl,AllPub,Sawyer,1Fam,1Story,4,4,1976,Gable,CBlock,1281,GasA,Y,SBrkr,1620,2,0,3,1,TA,8,1,Attchd,490,6,2009,150000
407,10480,Pave,Reg,Lvl,AllPub,SWISU,1Fam,1.5Fin,6,5,1936,Gable,BrkTil,1064,GasA,Y,FuseA,1639,1,0,3,1,TA,6,0,Detchd,240,3,2008,115000
408,15576,Pave,Reg,Lvl,AllPub,Crawfor,1Fam,2Story,6,7,1915,Gable,BrkTil,840,GasA,Y,SBrkr,1680,2,0,4,1,TA,8,0,Attchd,308,3,2008,177000
409,14154,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,2Story,7,5,2006,Gable,PConc,1063,GasA,Y,SBrkr,2172,2,1,3,1,Gd,9,1,Attchd,947,8,2007,280000
410,10800,Pave,Reg,Lvl,AllPub,Somerst,1Fam,2Story,8,5,2007,Gable,PConc,1034,GasA,Y,SBrkr,2078,2,1,3,1,Ex,8,1,Attchd,836,4,2008,339750
411,9571,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1Story,5,3,1958,Gable,CBlock,1276,GasA,Y,FuseA,1276,1,0,3,1,TA,5,0,Attchd,350,6,2009,60000
412,34650,Pave,Reg,Bnk,AllPub,Gilbert,2fmCon,1Story,5,5,1955,Hip,CBlock,1056,GasA,N,SBrkr,1056,1,0,3,1,TA,5,0,Attchd,572,1,2006,145000
413,4403,Pave,IR2,Lvl,AllPub,Somerst,1Fam,1Story,7,5,2009,Gable,PConc,1470,GasA,Y,SBrkr,1478,2,1,2,1,Gd,7,1,Attchd,484,6,2010,222000
414,8960,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1Story,5,6,1927,Gable,CBlock,1008,GasA,Y,FuseA,1028,1,0,2,1,TA,5,1,Detchd,360,3,2010,115000
415,11228,Pave,IR2,Lvl,AllPub,SawyerW,1Fam,2Story,7,5,1993,Gable,PConc,1080,GasA,Y,SBrkr,2097,2,1,3,1,Gd,9,1,Attchd,678,12,2008,228000
416,8899,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,1Story,7,5,2007,Gable,PConc,1340,GasA,Y,SBrkr,1340,2,0,3,1,Gd,6,0,Attchd,396,8,2007,181134
417,7844,Pave,Reg,Lvl,AllPub,Sawyer,1Fam,2Story,6,7,1978,Hip,CBlock,672,GasA,Y,SBrkr,1400,1,1,3,1,TA,6,1,Attchd,440,3,2006,149500
418,22420,Pave,IR1,Lvl,AllPub,Crawfor,1Fam,2Story,6,6,1918,Hip,BrkTil,1370,GasW,N,FuseA,2624,2,1,4,1,TA,10,1,Detchd,864,11,2007,239000
419,8160,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1.5Fin,5,6,1940,Gable,BrkTil,756,GasA,N,FuseF,1134,1,1,3,1,TA,7,0,Detchd,240,4,2007,126000
420,8450,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1968,Gable,CBlock,1056,GasA,Y,SBrkr,1056,1,0,3,1,TA,6,1,Attchd,304,7,2010,142000
421,7060,Pave,Reg,Lvl,AllPub,Mitchel,Duplex,SFoyer,7,5,1997,Gable,PConc,1344,GasA,Y,SBrkr,1344,2,0,2,2,TA,8,0,Attchd,784,11,2008,206300
422,16635,Pave,IR1,Lvl,AllPub,NWAmes,1Fam,1Story,6,7,1977,Gable,CBlock,1602,GasA,Y,SBrkr,1602,2,0,3,1,Gd,8,1,Attchd,529,6,2009,215000
423,21750,Pave,Reg,HLS,AllPub,Mitchel,1Fam,1Story,5,5,1954,Hip,CBlock,988,GasA,Y,FuseA,988,1,0,2,1,TA,4,0,Attchd,520,2,2008,113000
424,9200,Pave,Reg,Lvl,AllPub,NoRidge,1Fam,2Story,8,5,1998,Gable,PConc,1470,GasA,Y,SBrkr,2630,2,1,4,1,Gd,8,1,Attchd,696,6,2008,315000
425,9000,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1956,Gable,CBlock,1196,GasA,Y,FuseA,1196,1,0,2,1,TA,6,1,Attchd,297,5,2008,139000
426,3378,Pave,Reg,HLS,AllPub,OldTown,1Fam,2Story,7,8,1946,Gable,CBlock,651,GasA,Y,SBrkr,1389,1,1,3,1,TA,6,2,Detchd,240,9,2009,135000
427,12800,Pave,Reg,Low,AllPub,SawyerW,1Fam,SLvl,7,5,1989,Gable,PConc,1518,GasA,Y,SBrkr,1644,2,0,2,1,Gd,5,1,Attchd,569,8,2009,275000
428,8593,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,4,6,1957,Hip,CBlock,907,GasA,Y,SBrkr,907,1,0,3,1,TA,5,0,Detchd,352,7,2008,109008
429,6762,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,1Story,7,5,2007,Gable,PConc,1208,GasA,Y,SBrkr,1208,2,0,2,1,Gd,6,0,Attchd,628,9,2007,195400
430,11457,Pave,IR1,Lvl,AllPub,Timber,1Fam,1Story,6,5,1988,Gable,CBlock,1392,GasA,Y,SBrkr,1412,2,0,3,1,Gd,6,1,Attchd,576,3,2009,175000
431,1680,Pave,Reg,Lvl,AllPub,BrDale,Twnhs,2Story,6,5,1971,Gable,CBlock,483,GasA,Y,SBrkr,987,1,1,2,1,TA,4,0,Detchd,264,7,2008,85400
432,5586,Pave,IR1,Bnk,AllPub,OldTown,1Fam,1.5Fin,6,7,1920,Gable,BrkTil,901,GasA,Y,SBrkr,1198,1,0,4,1,TA,7,0,NA,0,9,2008,79900
433,1920,Pave,Reg,Lvl,AllPub,BrDale,TwnhsE,2Story,5,5,1971,Gable,CBlock,765,GasA,Y,SBrkr,1365,1,1,2,1,TA,6,0,Detchd,440,8,2007,122500
434,10839,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,1997,Gable,PConc,926,GasA,Y,SBrkr,1604,2,1,3,1,TA,7,1,Attchd,470,7,2008,181000
435,1890,Pave,Reg,Lvl,AllPub,MeadowV,Twnhs,SFoyer,4,7,1972,Gable,CBlock,630,GasA,Y,SBrkr,630,1,0,1,1,TA,3,0,NA,0,6,2008,81000
436,10667,Pave,IR2,Lvl,AllPub,CollgCr,1Fam,2Story,7,6,1996,Gable,PConc,799,GasA,Y,SBrkr,1661,2,1,3,1,Gd,6,1,Attchd,550,4,2009,212000
437,4400,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1.5Fin,6,8,1920,Gable,BrkTil,648,GasA,Y,FuseA,1118,1,0,2,1,TA,6,0,Detchd,440,10,2006,116000
438,6000,Pave,Reg,Lvl,AllPub,BrkSide,1Fam,1.5Unf,6,7,1926,Gable,PConc,884,GasA,Y,SBrkr,904,1,0,2,1,TA,4,0,Detchd,180,1,2009,119000
439,4280,Pave,Reg,Lvl,AllPub,Crawfor,1Fam,1Story,5,6,1913,Gable,PConc,440,GasA,N,SBrkr,694,1,0,2,1,Gd,4,1,Detchd,352,3,2007,90350
440,12354,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1.5Fin,6,8,1920,Gable,BrkTil,684,GasA,Y,SBrkr,1196,1,0,3,1,Gd,7,0,Detchd,528,8,2009,110000
441,15431,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,1Story,10,5,2008,Hip,PConc,3094,GasA,Y,SBrkr,2402,2,0,2,1,Ex,10,2,Attchd,672,4,2009,555000
442,12108,Pave,Reg,Lvl,AllPub,Edwards,Duplex,1Story,4,4,1955,Gable,CBlock,1440,GasA,N,FuseF,1440,2,0,4,2,Fa,8,0,NA,0,9,2008,118000
443,6240,Pave,Reg,Lvl,AllPub,BrkSide,1Fam,1.5Fin,5,7,1930,Gable,PConc,1078,GasA,Y,SBrkr,1573,2,0,3,1,TA,8,1,Detchd,360,6,2008,162900
444,3922,Pave,Reg,Lvl,AllPub,Blmngtn,TwnhsE,1Story,7,5,2006,Gable,PConc,1258,GasA,Y,SBrkr,1258,2,0,2,1,Gd,6,1,Attchd,648,6,2007,172500
445,8750,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,2Story,7,5,1994,Gable,PConc,915,GasA,Y,SBrkr,1908,2,1,4,1,Gd,8,1,Attchd,493,7,2008,210000
446,9855,Pave,Reg,Lvl,AllPub,Edwards,1Fam,1Story,6,5,1956,Hip,CBlock,1436,GasA,Y,SBrkr,1689,1,0,3,1,TA,7,1,Attchd,480,11,2009,127500
447,16492,Pave,IR1,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1966,Gable,CBlock,1517,GasA,Y,SBrkr,1888,2,1,2,1,Gd,6,1,Attchd,578,6,2010,190000
448,11214,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,7,5,1998,Gable,PConc,930,GasA,Y,SBrkr,1886,2,1,4,1,Gd,10,1,Attchd,431,7,2006,199900
449,8600,Pave,Reg,Bnk,AllPub,IDOTRR,1Fam,1.5Fin,6,6,1937,Gable,BrkTil,780,GasA,Y,SBrkr,1376,2,0,3,1,TA,7,1,Detchd,198,6,2006,119500
450,6000,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1.5Fin,3,7,1948,Gable,CBlock,649,GasA,Y,SBrkr,1183,1,1,2,1,TA,6,0,Detchd,308,6,2007,120000
451,5684,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1Story,6,8,1930,Hip,BrkTil,813,GasA,Y,FuseA,813,1,0,2,1,Gd,5,0,Detchd,270,6,2006,110000
452,70761,Pave,IR1,Low,AllPub,ClearCr,1Fam,1Story,7,5,1975,Gable,CBlock,1533,GasA,Y,SBrkr,1533,2,0,2,1,Gd,5,2,Attchd,576,12,2006,280000
453,9303,Pave,IR1,Lvl,AllPub,Timber,1Fam,2Story,6,5,1996,Hip,PConc,872,GasA,Y,SBrkr,1756,2,1,3,1,TA,7,0,Attchd,422,7,2007,204000
454,9000,Pave,Reg,Lvl,AllPub,Somerst,1Fam,2Story,8,5,2008,Gable,PConc,768,GasA,Y,SBrkr,1590,2,1,3,1,Gd,6,0,Attchd,676,6,2009,210000
455,9297,Pave,Reg,Lvl,AllPub,Mitchel,Duplex,1Story,5,5,1976,Gable,CBlock,1728,GasA,Y,SBrkr,1728,2,0,4,2,TA,8,0,Detchd,560,7,2006,188000
456,9600,Pave,Reg,Lvl,AllPub,NWAmes,1Fam,1Story,7,6,1973,Hip,CBlock,1242,GasA,Y,SBrkr,1242,1,1,3,1,TA,6,1,Attchd,528,9,2007,175500
457,4571,Pave,Reg,Lvl,AllPub,OldTown,1Fam,2Story,5,5,1916,Gable,BrkTil,624,GasA,N,SBrkr,1344,1,0,4,1,TA,7,0,Detchd,513,5,2008,98000
458,53227,Pave,IR1,Low,AllPub,ClearCr,1Fam,1Story,4,6,1954,Flat,CBlock,1364,GasA,Y,SBrkr,1663,1,0,2,1,Gd,6,2,Attchd,529,3,2008,256000
459,5100,Pave,Reg,Lvl,AllPub,OldTown,1Fam,2Story,8,7,1925,Hip,PConc,588,GasA,Y,SBrkr,1666,1,0,3,1,Gd,7,1,Detchd,228,6,2008,161000
460,7015,Pave,IR1,Bnk,AllPub,BrkSide,1Fam,1.5Fin,5,4,1950,Gable,CBlock,709,GasA,Y,SBrkr,1203,1,0,3,1,Gd,5,1,Detchd,352,7,2009,110000
461,8004,Pave,IR1,Lvl,AllPub,Somerst,1Fam,2Story,8,5,2009,Gable,PConc,832,GasA,Y,SBrkr,1935,2,1,3,1,TA,8,0,BuiltIn,552,12,2009,263435
462,7200,Pave,Reg,Lvl,AllPub,SWISU,1Fam,2Story,7,9,1936,Gable,PConc,560,GasA,Y,SBrkr,1135,1,0,3,1,Gd,6,0,Detchd,576,4,2009,155000
463,8281,Pave,IR1,Lvl,AllPub,Sawyer,1Fam,1Story,5,5,1965,Gable,CBlock,864,GasA,Y,SBrkr,864,1,0,3,1,TA,5,1,Detchd,360,12,2009,62383
464,11988,Pave,IR1,HLS,AllPub,Crawfor,1Fam,2Story,6,7,1934,Hip,CBlock,715,GasA,Y,FuseA,1660,1,1,3,1,TA,6,1,Detchd,240,8,2008,188700
465,8430,Pave,Reg,HLS,AllPub,CollgCr,1Fam,1Story,5,5,1978,Gable,CBlock,1040,GasA,Y,SBrkr,1040,2,0,3,1,TA,5,0,NA,0,8,2009,124000
466,3072,Pave,Reg,Lvl,AllPub,Blmngtn,TwnhsE,1Story,7,5,2004,Hip,PConc,1375,GasA,Y,SBrkr,1414,2,0,2,1,Gd,6,1,Attchd,398,5,2006,178740
467,10628,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,7,5,1970,Flat,CBlock,1277,GasA,Y,SBrkr,1277,1,0,2,1,TA,5,1,Attchd,526,4,2007,167000
468,9480,Pave,Reg,Lvl,AllPub,NAmes,1Fam,2Story,5,7,1942,Gable,CBlock,728,GasA,Y,SBrkr,1644,1,1,3,1,Gd,7,2,Attchd,312,6,2007,146500
469,11428,Pave,IR1,Lvl,AllPub,NridgHt,1Fam,1Story,8,5,2006,Gable,PConc,1626,GasA,Y,SBrkr,1634,2,0,3,1,Gd,7,1,Attchd,866,5,2007,250000
470,9291,Pave,IR1,Lvl,AllPub,SawyerW,1Fam,2Story,6,5,1993,Gable,PConc,832,GasA,Y,SBrkr,1710,2,1,3,1,Gd,7,0,Attchd,506,6,2008,187000
471,6820,Pave,IR1,Lvl,AllPub,StoneBr,TwnhsE,1Story,8,5,1985,Gable,PConc,1488,GasA,Y,SBrkr,1502,1,1,1,1,Gd,4,0,Attchd,528,6,2010,212000
472,11952,Pave,Reg,Lvl,AllPub,NWAmes,1Fam,2Story,7,6,1977,Mansard,CBlock,808,GasA,Y,SBrkr,1969,2,1,3,1,TA,8,1,Attchd,534,11,2007,190000
473,3675,Pave,Reg,Lvl,AllPub,Edwards,TwnhsE,SLvl,6,5,2005,Gable,PConc,547,GasA,Y,SBrkr,1072,1,0,2,1,TA,5,0,Basment,525,6,2008,148000
474,14977,Pave,IR1,Lvl,AllPub,NridgHt,1Fam,1Story,8,5,2006,Gable,PConc,1976,GasA,Y,SBrkr,1976,2,0,2,1,Gd,7,1,Attchd,908,7,2007,440000
475,5330,Pave,Reg,Lvl,AllPub,StoneBr,TwnhsE,1Story,8,5,2000,Gable,PConc,1494,GasA,Y,SBrkr,1652,2,0,2,1,Ex,6,0,Attchd,499,8,2007,251000
476,8480,Pave,Reg,Lvl,AllPub,Sawyer,1Fam,1Story,5,6,1963,Hip,CBlock,970,GasA,Y,SBrkr,970,1,0,2,1,TA,5,0,Detchd,624,7,2007,132500
477,13125,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,1Story,6,5,1997,Gable,PConc,1478,GasA,Y,SBrkr,1493,2,0,3,1,Gd,7,1,Attchd,508,4,2008,208900
478,13693,Pave,Reg,Lvl,AllPub,NridgHt,1Fam,2Story,9,5,2006,Hip,PConc,2153,GasA,Y,SBrkr,2643,2,1,3,1,Ex,9,1,BuiltIn,694,3,2007,380000
479,10637,Pave,Reg,Lvl,AllPub,CollgCr,1Fam,1Story,8,5,2007,Hip,PConc,1705,GasA,Y,SBrkr,1718,2,0,3,1,Gd,7,1,Attchd,826,9,2009,297000
480,5925,Pave,Reg,Bnk,AllPub,OldTown,1Fam,1Story,4,7,1937,Hip,BrkTil,907,GasA,Y,SBrkr,1131,1,0,2,1,TA,7,0,Detchd,672,3,2007,89471
481,16033,Pave,IR1,Lvl,AllPub,NridgHt,1Fam,1Story,9,5,2004,Hip,PConc,1833,GasA,Y,SBrkr,1850,2,0,3,1,Gd,8,1,Attchd,772,3,2006,326000
482,11846,Pave,IR1,HLS,AllPub,NridgHt,1Fam,1Story,9,5,2003,Hip,PConc,1792,GasA,Y,SBrkr,1792,2,0,2,1,Ex,6,1,Attchd,874,8,2006,374000
483,2500,Pave,Reg,Lvl,AllPub,OldTown,1Fam,2Story,7,8,1915,Gable,PConc,910,GasA,Y,SBrkr,1826,1,1,4,1,Ex,7,1,Attchd,164,6,2009,155000
484,4500,Pave,Reg,Lvl,AllPub,Mitchel,Twnhs,1Story,6,5,1998,Hip,PConc,1216,GasA,Y,SBrkr,1216,2,0,2,1,TA,5,0,Attchd,402,5,2006,164000
485,7758,Pave,IR1,Lvl,AllPub,Sawyer,1Fam,1Story,5,7,1962,Gable,CBlock,999,GasA,Y,SBrkr,999,1,0,3,1,Gd,6,0,Detchd,264,3,2007,132500
486,9600,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1950,Gable,CBlock,1113,GasA,Y,SBrkr,1113,1,0,3,1,Gd,5,1,Attchd,264,7,2009,147000
487,10289,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1965,Hip,CBlock,1073,GasA,Y,SBrkr,1073,1,1,3,1,TA,6,0,Attchd,515,6,2007,156000
488,12243,Pave,IR1,Lvl,AllPub,NWAmes,1Fam,1Story,5,6,1971,Gable,CBlock,1484,GasA,Y,SBrkr,1484,2,0,3,1,TA,7,1,Attchd,487,2,2007,175000
489,10800,Pave,Reg,Lvl,AllPub,OldTown,2fmCon,1.5Fin,5,4,1900,Gable,CBlock,954,GasA,N,FuseA,2414,2,0,3,2,TA,10,1,Attchd,520,5,2006,160000
490,1526,Pave,Reg,Lvl,AllPub,MeadowV,Twnhs,SFoyer,4,8,1970,Gable,CBlock,630,GasA,Y,SBrkr,630,1,0,1,1,Gd,3,0,Attchd,286,5,2009,86000
491,2665,Pave,Reg,Lvl,AllPub,MeadowV,TwnhsE,2Story,5,6,1976,Gable,PConc,264,GasA,Y,SBrkr,1304,1,1,3,1,TA,4,1,BuiltIn,336,6,2008,115000
492,9490,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1.5Fin,6,7,1941,Gable,CBlock,806,GasA,Y,FuseA,1578,1,0,3,1,Fa,5,2,Attchd,240,8,2006,133000
493,15578,Pave,IR1,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,2006,Gable,PConc,728,GasA,Y,SBrkr,1456,2,1,3,1,TA,8,0,Attchd,429,5,2006,172785
494,7931,Pave,Reg,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1960,Gable,CBlock,1269,GasA,Y,FuseA,1269,1,1,3,1,TA,6,1,Detchd,308,6,2008,155000
495,5784,Pave,Reg,Lvl,AllPub,OldTown,1Fam,1Story,5,8,1938,Gable,BrkTil,190,GasA,Y,FuseA,886,1,0,2,1,TA,4,0,Attchd,273,12,2009,91300
496,7879,Pave,Reg,Lvl,AllPub,IDOTRR,1Fam,1Story,4,5,1920,Gable,CBlock,720,GasA,N,FuseA,720,1,0,2,1,TA,4,0,NA,0,11,2009,34900
497,12692,Pave,IR1,Lvl,AllPub,NoRidge,1Fam,1Story,8,5,1992,Hip,PConc,3200,GasA,Y,SBrkr,3228,3,0,4,1,Gd,10,1,Attchd,546,5,2007,430000
498,9120,Pave,Reg,Lvl,AllPub,BrkSide,1Fam,1.5Fin,7,6,1925,Gable,PConc,1026,GasA,Y,SBrkr,1820,2,0,4,1,TA,8,0,Detchd,240,6,2008,184000
